iter	Passed	Remaining
0	21	4352
1	46	4593
2	74	4880
3	100	4936
4	126	4946
5	155	5015
6	182	5019
7	209	5027
8	236	5019
9	265	5038
10	291	5011
11	317	4974
12	344	4956
13	371	4932
14	398	4908
15	423	4871
16	450	4850
17	479	4844
18	505	4812
19	531	4787
20	558	4758
21	584	4730
22	612	4714
23	638	4684
24	653	4574
25	681	4558
26	707	4535
27	735	4518
28	762	4495
29	789	4474
30	815	4448
31	843	4428
32	874	4425
33	905	4420
34	931	4393
35	958	4364
36	985	4341
37	1011	4312
38	1037	4282
39	1064	4257
40	1105	4285
41	1131	4255
42	1158	4231
43	1187	4209
44	1213	4180
45	1239	4149
46	1267	4127
47	1295	4103
48	1323	4078
49	1351	4053
50	1379	4029
51	1404	3998
52	1445	4009
53	1475	3988
54	1505	3969
55	1541	3962
56	1581	3968
57	1612	3947
58	1640	3921
59	1667	3890
60	1694	3861
61	1720	3830
62	1748	3801
63	1774	3771
64	1804	3748
65	1833	3723
66	1870	3713
67	1898	3686
68	1927	3658
69	1953	3627
70	1980	3598
71	2007	3568
72	2036	3542
73	2062	3511
74	2090	3484
75	2118	3456
76	2145	3426
77	2170	3395
78	2197	3366
79	2225	3337
80	2253	3310
81	2292	3299
82	2322	3274
83	2349	3245
84	2376	3214
85	2402	3184
86	2429	3155
87	2456	3126
88	2482	3096
89	2510	3068
90	2537	3039
91	2563	3009
92	2589	2979
93	2617	2951
94	2642	2920
95	2679	2903
96	2706	2873
97	2734	2845
98	2766	2822
99	2793	2793
100	2822	2766
101	2851	2739
102	2879	2711
103	2905	2682
104	2931	2652
105	2958	2623
106	2985	2594
107	3012	2565
108	3039	2537
109	3066	2509
110	3093	2480
111	3120	2451
112	3147	2423
113	3174	2394
114	3200	2365
115	3227	2336
116	3257	2311
117	3284	2282
118	3310	2253
119	3336	2224
120	3363	2195
121	3390	2167
122	3416	2138
123	3443	2110
124	3470	2082
125	3497	2053
126	3523	2025
127	3551	1997
128	3577	1969
129	3603	1940
130	3630	1912
131	3657	1883
132	3684	1856
133	3713	1828
134	3741	1801
135	3769	1773
136	3796	1745
137	3826	1719
138	3853	1691
139	3880	1662
140	3907	1635
141	3934	1607
142	3960	1578
143	3988	1551
144	4015	1523
145	4043	1495
146	4069	1467
147	4097	1439
148	4123	1411
149	4150	1383
150	4176	1355
151	4213	1330
152	4247	1304
153	4277	1277
154	4312	1251
155	4341	1224
156	4371	1197
157	4398	1169
158	4427	1141
159	4453	1113
160	4481	1085
161	4517	1059
162	4548	1032
163	4576	1004
164	4603	976
165	4629	948
166	4655	919
167	4681	891
168	4708	863
169	4738	836
170	4768	808
171	4798	781
172	4827	753
173	4855	725
174	4883	697
175	4910	669
176	4937	641
177	4965	613
178	4992	585
179	5021	557
180	5048	529
181	5074	501
182	5101	473
183	5127	445
184	5154	417
185	5180	389
186	5207	362
187	5237	334
188	5263	306
189	5289	278
190	5315	250
191	5342	222
192	5369	194
193	5395	166
194	5422	139
195	5448	111
196	5475	83
197	5501	55
198	5529	27
199	5555	0
