iter	CrossEntropy
0	0.6843565311
1	0.6745514522
2	0.6678713682
3	0.6602926852
4	0.6533273503
5	0.6476493825
6	0.6415162634
7	0.6365779514
8	0.6326097667
9	0.6265729927
10	0.6221246541
11	0.6184725276
12	0.6143930733
13	0.6098692267
14	0.6064210214
15	0.6034071897
16	0.6001114329
17	0.5974095924
18	0.5949974279
19	0.5916628619
20	0.5883520849
21	0.5858464346
22	0.5833943692
23	0.5808997561
24	0.5769641786
25	0.5748045696
26	0.5713731838
27	0.5688452973
28	0.5663260377
29	0.5639932455
30	0.5619140703
31	0.5591890123
32	0.5569054991
33	0.553281118
34	0.5498876834
35	0.5472723287
36	0.5456263525
37	0.5422948054
38	0.5405228776
39	0.5385059461
40	0.5363365869
41	0.5354733412
42	0.5339047092
43	0.532672383
44	0.5309281618
45	0.5297295339
46	0.5276053268
47	0.527514944
48	0.5255450977
49	0.5241782105
50	0.521981738
51	0.5210367927
52	0.5192903471
53	0.5171727305
54	0.5156372216
55	0.5129428644
56	0.511897922
57	0.5100230961
58	0.5079964603
59	0.5060424771
60	0.5051994935
61	0.5036444476
62	0.5017366832
63	0.5003501164
64	0.4979149547
65	0.4953852437
66	0.4936971684
67	0.4919037093
68	0.4901192268
69	0.4893656207
70	0.4883743029
71	0.4868208671
72	0.4853809389
73	0.4834818397
74	0.481939295
75	0.4798756014
76	0.4791654656
77	0.4783516778
78	0.4768042514
79	0.475743174
80	0.4748510375
81	0.473531044
82	0.4716784518
83	0.4701707532
84	0.4679401187
85	0.4670909822
86	0.4664405576
87	0.4660847986
88	0.4645964534
89	0.4642978718
90	0.4627508882
91	0.4609472585
92	0.4601895894
93	0.4594520578
94	0.4582082659
95	0.4569236379
96	0.455708444
97	0.4545039942
98	0.4535920715
99	0.4519028497
100	0.4513534511
101	0.4504054363
102	0.4488469876
103	0.4479124411
104	0.4465718933
105	0.4456407132
106	0.4449592786
107	0.4433086433
108	0.4422245731
109	0.4401736331
110	0.4391163881
111	0.4379155778
112	0.4363483436
113	0.4350826685
114	0.4337809956
115	0.431875316
116	0.431208324
117	0.4302819899
118	0.4295622503
119	0.4280514078
120	0.4263786917
121	0.4253542496
122	0.424287956
123	0.4226075845
124	0.4218107815
125	0.4207690818
126	0.4200771324
127	0.4191571025
128	0.4182274272
129	0.4176340247
130	0.416495563
131	0.4149213493
132	0.414009575
133	0.4125935021
134	0.4117443857
135	0.410192616
136	0.4091850882
137	0.4081788862
138	0.4076114072
139	0.4065985449
140	0.4053292055
141	0.4045601279
142	0.4037184356
143	0.4032804686
144	0.4017590497
145	0.4000933705
146	0.3984304205
147	0.3977217258
148	0.3963901938
149	0.3953882035
150	0.3938925109
151	0.3933107824
152	0.3921926634
153	0.3907969277
154	0.3893877686
155	0.3881674921
156	0.3873157873
157	0.3865828692
158	0.386107988
159	0.3852520865
160	0.3838611717
161	0.3824113816
162	0.3816633098
163	0.3803888523
164	0.3790017681
165	0.3779742341
166	0.3766814784
167	0.375413493
168	0.3745731462
169	0.3727253864
170	0.3716919596
171	0.370426386
172	0.3698033372
173	0.368558346
174	0.3676146283
175	0.3671818144
176	0.3668767911
177	0.365811168
178	0.3644908696
179	0.36285052
180	0.3613990571
181	0.360475779
182	0.3590880096
183	0.3582411184
184	0.3577621542
185	0.3566765179
186	0.3553459961
187	0.3537839034
188	0.3535450846
189	0.3523322209
190	0.3503990146
191	0.3501779778
192	0.3492777495
193	0.348600408
194	0.3476594664
195	0.3460906451
196	0.345180322
197	0.3434797851
198	0.3420187478
199	0.3414284589
