iter	CrossEntropy
0	0.6841417137
1	0.6761111513
2	0.6688718436
3	0.661330991
4	0.6538413208
5	0.6474759997
6	0.6419769561
7	0.6350753578
8	0.6290299336
9	0.6238427716
10	0.6189859183
11	0.6142194444
12	0.6114448108
13	0.6076851774
14	0.6040663703
15	0.6001640882
16	0.5967480885
17	0.5936250905
18	0.5905461889
19	0.5877643528
20	0.5854804904
21	0.5836340599
22	0.5812169431
23	0.5788412672
24	0.577405718
25	0.5754334176
26	0.573395979
27	0.5709102769
28	0.5688079572
29	0.5675112154
30	0.5661666002
31	0.5644659085
32	0.5627809568
33	0.5610547587
34	0.5592466782
35	0.5574129263
36	0.5565165156
37	0.555546279
38	0.5542131561
39	0.5525466204
40	0.5513288977
41	0.5498428193
42	0.5487693017
43	0.5476886226
44	0.5460579667
45	0.5445276865
46	0.5434984666
47	0.5420163272
48	0.5405124145
49	0.5389057083
50	0.5377453258
51	0.5357558586
52	0.534331764
53	0.5330413451
54	0.5317700282
55	0.5300055151
56	0.5288375554
57	0.5278745485
58	0.5270381662
59	0.5252949069
60	0.5243190697
61	0.5236548124
62	0.5226406219
63	0.5218533841
64	0.5209807805
65	0.5199232619
66	0.5187265918
67	0.5176136675
68	0.5165477607
69	0.5158639344
70	0.5149261375
71	0.513862391
72	0.5124817251
73	0.5113584416
74	0.5108286001
75	0.5100735079
76	0.5093720512
77	0.5085353898
78	0.5080036279
79	0.506876895
80	0.506199438
81	0.5053484801
82	0.5044640494
83	0.503172352
84	0.5021866334
85	0.501279878
86	0.5005454591
87	0.5001319015
88	0.4991860351
89	0.4983908085
90	0.4973800329
91	0.4966477633
92	0.4958051995
93	0.4950647045
94	0.4942698933
95	0.4931277521
96	0.4928191094
97	0.4919731833
98	0.491137943
99	0.4904373536
100	0.4894410051
101	0.4888765872
102	0.4879713911
103	0.4874628205
104	0.4869370729
105	0.4863282549
106	0.4854362001
107	0.4847274929
108	0.4844665757
109	0.4828780227
110	0.4818285161
111	0.4810106468
112	0.4803686576
113	0.4792277711
114	0.4785854874
115	0.4773586224
116	0.4766664541
117	0.4756874519
118	0.4749002405
119	0.4736685744
120	0.473153454
121	0.4721710619
122	0.4713709227
123	0.4708328476
124	0.4704161526
125	0.469407952
126	0.4682680508
127	0.4677185874
128	0.4674655913
129	0.4668230617
130	0.4662393983
131	0.4652802198
132	0.4642207398
133	0.4632829942
134	0.462488723
135	0.4620422329
136	0.4611561468
137	0.4607304873
138	0.4602384119
139	0.4592080647
140	0.4588762436
141	0.4584962228
142	0.4582521391
143	0.4578991797
144	0.4570903777
145	0.456352755
146	0.4557278326
147	0.45494335
148	0.4545013973
149	0.454089
150	0.4537641094
151	0.4528755477
152	0.4526105024
153	0.4518991113
154	0.4513571134
155	0.4508772659
156	0.4506654442
157	0.4497608013
158	0.4485353856
159	0.447667604
160	0.4470646755
161	0.4463728506
162	0.4455871089
163	0.4451024513
164	0.4441892027
165	0.4434798124
166	0.4429713244
167	0.4423348366
168	0.441710208
169	0.4411517866
170	0.4404211434
171	0.4396008172
172	0.4386320507
173	0.4382098169
174	0.4376990776
175	0.4369378746
176	0.4362237304
177	0.4359048114
178	0.4352863198
179	0.4347220847
180	0.4341663302
181	0.4333433808
182	0.4326726289
183	0.4318774094
184	0.4312655023
185	0.4303776462
186	0.4295795481
187	0.4285806776
188	0.4280385425
189	0.4273532006
190	0.426600307
191	0.42603067
192	0.4247882541
193	0.4241318373
194	0.4233758927
195	0.4220210282
196	0.4219980477
197	0.4212553786
198	0.4207258696
199	0.4197384421
