iter	Passed	Remaining
0	19	3878
1	39	3919
2	62	4089
3	86	4255
4	125	4911
5	148	4796
6	172	4767
7	196	4712
8	219	4665
9	245	4658
10	269	4625
11	293	4595
12	319	4588
13	342	4551
14	367	4530
15	392	4517
16	416	4481
17	440	4455
18	471	4490
19	494	4448
20	518	4420
21	543	4401
22	566	4361
23	590	4333
24	615	4308
25	639	4277
26	663	4251
27	687	4223
28	711	4194
29	735	4168
30	760	4144
31	783	4115
32	822	4161
33	853	4169
34	877	4138
35	902	4111
36	926	4083
37	951	4055
38	974	4024
39	1003	4014
40	1031	3998
41	1057	3978
42	1086	3966
43	1113	3948
44	1141	3932
45	1173	3927
46	1200	3908
47	1227	3888
48	1255	3868
49	1280	3842
50	1303	3809
51	1332	3793
52	1356	3763
53	1380	3732
54	1405	3706
55	1432	3683
56	1456	3654
57	1482	3629
58	1506	3600
59	1531	3574
60	1559	3552
61	1583	3524
62	1607	3495
63	1632	3468
64	1656	3439
65	1680	3411
66	1706	3387
67	1730	3359
68	1754	3330
69	1779	3304
70	1803	3277
71	1828	3251
72	1854	3226
73	1882	3204
74	1906	3177
75	1934	3156
76	1958	3128
77	1982	3100
78	2007	3074
79	2030	3046
80	2057	3022
81	2081	2995
82	2104	2967
83	2129	2941
84	2154	2915
85	2179	2888
86	2204	2862
87	2228	2836
88	2253	2809
89	2277	2783
90	2302	2758
91	2327	2732
92	2352	2707
93	2377	2681
94	2402	2655
95	2426	2628
96	2450	2602
97	2475	2576
98	2498	2549
99	2524	2524
100	2549	2499
101	2572	2472
102	2598	2447
103	2623	2421
104	2646	2394
105	2674	2371
106	2699	2346
107	2737	2332
108	2762	2306
109	2786	2279
110	2812	2255
111	2854	2242
112	2879	2216
113	2902	2189
114	2927	2163
115	2951	2137
116	2975	2111
117	3000	2085
118	3024	2058
119	3049	2033
120	3074	2007
121	3098	1981
122	3122	1954
123	3147	1928
124	3170	1902
125	3194	1876
126	3221	1851
127	3245	1825
128	3269	1799
129	3294	1774
130	3319	1748
131	3344	1722
132	3368	1697
133	3392	1670
134	3415	1644
135	3440	1618
136	3464	1593
137	3487	1566
138	3513	1541
139	3537	1516
140	3560	1490
141	3586	1465
142	3610	1439
143	3635	1413
144	3661	1388
145	3684	1362
146	3709	1337
147	3734	1312
148	3758	1286
149	3784	1261
150	3817	1238
151	3842	1213
152	3866	1187
153	3892	1162
154	3915	1136
155	3941	1111
156	3965	1086
157	3990	1060
158	4015	1035
159	4039	1009
160	4064	984
161	4088	959
162	4113	933
163	4140	908
164	4167	883
165	4193	858
166	4217	833
167	4242	808
168	4282	785
169	4305	759
170	4328	734
171	4353	708
172	4375	682
173	4399	657
174	4424	632
175	4447	606
176	4470	580
177	4508	557
178	4532	531
179	4557	506
180	4583	481
181	4607	455
182	4631	430
183	4656	404
184	4680	379
185	4704	354
186	4728	328
187	4768	304
188	4791	278
189	4820	253
190	4844	228
191	4868	202
192	4894	177
193	4919	152
194	4943	126
195	4979	101
196	4994	76
197	5019	50
198	5044	25
199	5068	0
